2Theta,Intensity
30.1800,0.2008
30.2000,0.4256
30.2200,1.8126
30.2400,5.0910
30.2600,9.0985
30.2800,10.3406
30.3000,7.4736
30.3200,3.4350
30.3400,1.0040
30.3600,0.1878
30.3800,0.0389
30.4000,0.1510
30.4200,0.8436
30.4400,3.0301
30.4600,6.9215
30.4800,10.0555
30.5000,9.3059
30.5200,5.6151
30.5400,2.9221
30.5600,3.6065
30.5800,7.0876
30.6000,10.0282
30.6200,9.1049
30.6400,5.2601
30.6600,1.9326
30.6800,0.4516
30.7000,0.0671
30.7200,0.0063
30.7400,0.0004
30.7600,0.0000
30.7800,0.0000
30.8000,0.0000
30.8200,0.0000
30.8400,0.0000
30.8600,0.0001
30.8800,0.0012
30.9000,0.0170
30.9200,0.1568
30.9400,0.9380
30.9600,3.6649
30.9800,9.4413
31.0000,16.1873
31.0200,18.6093
31.0400,14.4792
31.0600,8.1889
31.0800,5.3902
31.1000,7.1356
31.1200,9.6790
31.1400,8.9263
31.1600,5.2718
31.1800,1.9814
31.2000,0.4736
31.2200,0.0720
31.2400,0.0070
31.2600,0.0004
31.2800,0.0000
31.3000,0.0000
31.3200,0.0000
31.3400,0.0000
31.3600,0.0000
31.3800,0.0000
31.4000,0.0000
31.4200,0.0000
31.4400,0.0000
31.4600,0.0000
31.4800,0.0003
31.5000,0.0052
31.5200,0.0563
31.5400,0.3875
31.5600,1.6959
31.5800,4.7196
31.6000,8.3524
31.6200,9.4001
31.6400,6.7276
31.6600,3.0619
31.6800,0.8862
31.7000,0.1631
31.7200,0.0191
31.7400,0.0014
31.7600,0.0001
31.7800,0.0000
31.8000,0.0000
31.8200,0.0000
31.8400,0.0000
31.8600,0.0000
31.8800,0.0000
31.9000,0.0000
31.9200,0.0000
31.9400,0.0000
31.9600,0.0000
31.9800,0.0000
32.0000,0.0000
32.0200,0.0000
32.0400,0.0000
32.0600,0.0000
32.0800,0.0000
32.1000,0.0007
32.1200,0.0102
32.1400,0.1000
32.1600,0.6327
32.1800,2.6141
32.2000,7.1517
32.2200,13.1813
32.2400,16.6251
32.2600,14.4572
32.2800,8.6285
32.3000,3.4846
32.3200,0.9358
32.3400,0.1646
32.3600,0.0188
32.3800,0.0015
32.4000,0.0021
32.4200,0.0251
32.4400,0.2012
32.4600,1.0244
32.4800,3.3164
32.5000,6.8280
32.5200,8.9397
32.5400,7.4435
32.5600,3.9452
32.5800,1.3724
32.6000,0.6062
32.6200,1.4916
32.6400,4.1770
32.6600,7.6830
32.6800,9.3503
32.7000,8.6166
32.7200,8.3147
32.7400,9.2287
32.7600,8.5279
32.7800,5.3569
32.8000,2.1687
32.8200,0.5598
